Name,1 Day Fees,7 Day Fees,Date_Stamp
open-orgs.info,,,2021-09-25
l2fees.info,,,2021-09-25
stakers.info,,,2021-09-25
ethereumnodes.com,,,2021-09-25
Support us on Gitcoin,,,2021-09-25
Ethereum,22407052.42,24996303.82,2021-09-25
Uniswap,3950083.46,3736134.05,2021-09-25
Aave,1736027.37,1487412.55,2021-09-25
SushiSwap,1602291.64,1329767.22,2021-09-25
Compound,760520.26,770551.61,2021-09-25
Bitcoin,667549.08,580997.48,2021-09-25
Terraswap,438200.89,328361.06,2021-09-25
Quickswap,303925.55,256694.26,2021-09-25
Pangolin,212002.52,272779.45,2021-09-25
Balancer,193002.26,192693.08,2021-09-25
MakerDAO,125991.66,133816.37,2021-09-25
Arbitrum One,124026.73,146067.41,2021-09-25
Avalanche,117713.01,203628.46,2021-09-25
Optimism,114624.16,128515.55,2021-09-25
Bancor,98887.44,79431.86,2021-09-25
Fantom,59501.55,48716.06,2021-09-25
Cardano,41166.84,37953.23,2021-09-25
Polygon,38637.93,40906.62,2021-09-25
xDai,30783.19,19904.79,2021-09-25
Liquity,30325.79,68933.90,2021-09-25
Terra,23347.83,21528.12,2021-09-25
Polymarket,21483.35,5755.51,2021-09-25
Tornado Cash,13343.83,12868.05,2021-09-25
Ren Protocol,13304.01,33511.82,2021-09-25
Dfyn,13072.78,14915.08,2021-09-25
Bitcoin SV,11333.63,10832.32,2021-09-25
Tezos,11171.69,10541.99,2021-09-25
0x,9322.21,4472.22,2021-09-25
Dogecoin,8920.12,8628.00,2021-09-25
Swapr,7325.23,4249.21,2021-09-25
Zilliqa,3523.82,3746.55,2021-09-25
Synthetix,3313.00,20856.95,2021-09-25
Ripple,2405.87,2569.68,2021-09-25
Litecoin,2183.13,2502.21,2021-09-25
HoneySwap,1822.15,2261.35,2021-09-25
Monero,1675.05,1056.49,2021-09-25
Bitcoin Cash,605.65,651.27,2021-09-25
Polkadot,226.04,222.22,2021-09-25
Stellar,150.48,139.39,2021-09-25
Linkswap,99.89,41.03,2021-09-25
mStable,21.43,23.18,2021-09-25
Kusama,2.37,2.24,2021-09-25
